No;Provinsi;Sekolah;Guru;Murid
1;Aceh;3529;48541;486958
2;Sumatera Utara;9782;109585;1548652
3;Sumatera Barat;4260;46833;597218
4;Riau;3791;51378;773526
5;Jambi;2463;27161;368694
6;Sumatera Selatan;4696;59861;882534
7;Bengkulu;1398;16035;194381
8;Lampung;4732;57711;799619
9;Kepulauan Bangka Belitung;832;9678;162722
10;Kepulauan Riau;973;14033;225575
11;DKI Jakarta;2239;40344;765090
12;Jawa Barat;19659;212849;4450934
13;Jawa Tengah;18760;173671;2631174
14;DI Yogyakarta;1848;20455;274438
15;Jawa Timur;19007;186798;2579913
16;Banten;4634;56887;1185883
17;Bali;2416;25719;382864
18;Nusa Tenggara Barat;3309;42159;509469
19;Nusa Tenggara Timur;5203;54285;669225
20;Kalimantan Barat;4438;39540;565648
21;Kalimantan Tengah;2648;25485;275040
22;Kalimantan Selatan;2915;30182;356919
23;Kalimantan Timur;1919;26112;412229
24;Kalimantan Utara;485;6095;78529
25;Sulawesi Utara;2203;18795;215237
26;Sulawesi Tengah;2926;27175;307722
27;Sulawesi Selatan;6438;70404;880177
28;Sulawesi Tenggara;2345;25567;291723
29;Gorontalo;928;8392;108142
30;Sulawesi Barat;1326;13755;143993
31;Maluku;1812;17969;207996
32;Maluku Utara;1315;12037;140564
33;Papua Barat;1104;9791;131171
34;Papua;2642;20227;472552
